occurrenceID,datasetName,datasetProvider,scientificName,sex,individualCountEnd,plantScientificName,endYear,endMonth,endDay,verbatimEventDate,startYear,country,decimalLatitude,decimalLongitude,coordinateUncertaintyInMetersEnd,manualGeoreferencing,geometry,license,recordedBy,individualCount,year,month,day,gbifRegion,habitat,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,databaseName
https://www.inaturalist.org/observations/172137010,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",Female,,,,,,2023/07/10 11:34 AM,,,45.154289,5.722189,,,3984267.62319382|2458803.48317062,CC_BY_NC_4_0,Lyonel Vincent,,2023,7,10,EUROPE,,FR,Rhône-Alpes,,,,"Échirolles, France",,GBIF
https://www.inaturalist.org/observations/171231693,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",Male,,,,,,2023-07-06 00:05:42+08:00,,,44.079322,5.094446,,,3927507.75284199|2342815.32624514,CC_BY_NC_4_0,domwernert,,2023,7,5,EUROPE,,FR,Provence-Alpes-Côte d'Azur,,,,"Chemin des Fontainiers, Carpentras, Provence-Alpes-Côte d'Azur, FR",,GBIF
https://www.inaturalist.org/observations/171717690,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",,,,,,,2023-07-08 11:42:30,,,46.033976,6.105234,,,4019265.84749294|2554679.78768056,CC_BY_NC_4_0,klaus0511,,2023,7,8,EUROPE,,FR,Rhône-Alpes,,,,"74350 Cruseilles, France",,GBIF
https://www.inaturalist.org/observations/172042378,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",,,,,,,2023-07-09 11:29:04+02:00,,,42.224658,2.862087,,,3730663.51025606|2152431.87756773,CC_BY_NC_4_0,indi84,,2023,7,9,EUROPE,,ES,Cataluña,,,,"Carrer del Carme, Navata, Girona, ES",,GBIF
https://www.inaturalist.org/observations/172185468,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",,,,,,,2023-07-10 19:05:09,,,43.646742,0.583608,,,3561650.64953154|2329722.80533434,CC_BY_NC_4_0,AdrienPerrard,,2023,7,10,EUROPE,,FR,Midi-Pyrénées,,,,"32000 Auch, France",,GBIF
https://www.inaturalist.org/observations/170624762,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",Male,,,,,,2023-07-02 14:08:07+02:00,,,44.099995,15.241138,,,4741210.73510353|2346926.24740984,CC_BY_NC_4_0,kubuspiekny,,2023,7,2,EUROPE,,HR,Zadarska,,,,"Karma, Zadar, 13, HR",,GBIF
https://www.inaturalist.org/observations/171756004,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",,,,,,,Sat Jul 08 2023 17:16:44 GMT +0200 (GMT+2),,,46.843174,4.634481,,,3911761.26606401|2651440.31234147,CC_BY_NC_4_0,hectormeg,,2023,7,8,EUROPE,,FR,Bourgogne,,,,Saint-Léger-sur-Dheune,,GBIF
https://www.inaturalist.org/observations/171349124,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",Male,,,,,,2023-07-06 10:28:25,,,47.187583,27.561269,,,5638737.52866789|2832227.29868813,CC_BY_4_0,Alexandr Stanislavschi,,2023,7,6,EUROPE,,RO,Iași,,,,"Copou, Iași, Romania",,GBIF
6311cb7e-1913-4906-88f9-f40afe609c7f,,,"Megachile sculpturalis Smith, 1853",,,,,,,,,,43.27568,-0.32675,,,3483431.41371414|2298564.6489375,CC_BY_4_0,ETERRADOSSI Olivier (INDÉPENDANT),,2022,7,12,EUROPE,,FR,,Pyrénées-Atlantiques,Aressy,,,,GBIF
18f93495-6e45-4fdb-9ad2-0f517636f067,,,"Megachile sculpturalis Smith, 1853",,,,,,,,,,44.80345,-0.6052,,,3483631.61733616|2469806.76500581,CC_BY_4_0,CREPSDEBORDEAUX (INDÉPENDANT),,2021,8,18,EUROPE,,FR,,Gironde,Talence,,,,GBIF
